DATE;ACTIVITY TYPE;ACTIVITY NAME;DEBIT;DEBIT CURRENCY;CREDIT;CREDIT CURRENCY;CARD NUMBER;LOCALITY;RECIPIENT;SENDER;FEES/COMMISSION;BUY/SELL;QUANTITY;ASSET;PRICE PER UNIT
01/01/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Real Estate Partners""";-1191.60;CHF;;;;"""""";"""Real Estate Partners""";"""""";0;;;;
01/01/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/01/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
05/01/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
04/01/2025;CARD_TRANSACTION_OUT;"""Migros MR Brunaupark""";-48.26;CHF;;;**** 1853;"""Zürich, CH""";"""Migros MR Brunaupark""";"""""";0;;;;
12/01/2025;CARD_TRANSACTION_OUT;"""Aldi Suisse 74""";-42.95;CHF;;;**** 1853;"""Zürich, CH""";"""Aldi Suisse 74""";"""""";0;;;;
25/01/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Digital Innovations GmbH""";;;6343.30;CHF;;"""""";"""""";"""Digital Innovations GmbH""";0;;;;
25/01/2025;PAYMENT_TRANSACTION_OUT;"""Twint a BOOKING.COM""";-426.14;CHF;;;;"""""";"""Twint a BOOKING.COM""";"""""";0;;;;
29/01/2025;PAYMENT_TRANSACTION_OUT;"""Twint a TRANSPORTMOBILE""";-229.09;CHF;;;;"""""";"""Twint a TRANSPORTMOBILE""";"""""";0;;;;
01/02/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1229.19;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/02/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/02/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
04/02/2025;PAYMENT_TRANSACTION_OUT;"""Twint a TRANSPORTMOBILE""";-351.61;CHF;;;;"""""";"""Twint a TRANSPORTMOBILE""";"""""";0;;;;
08/02/2025;CARD_TRANSACTION_OUT;"""Confiseur Bachmann AG""";-45.88;CHF;;;**** 1853;"""Zürich, CH""";"""Confiseur Bachmann AG""";"""""";0;;;;
14/02/2025;CARD_TRANSACTION_OUT;"""Aldi Suisse 74""";-42.72;CHF;;;**** 1853;"""Zürich, CH""";"""Aldi Suisse 74""";"""""";0;;;;
15/02/2025;CARD_TRANSACTION_OUT;"""Doctor visit""";-180.00;CHF;;;**** 1853;"""Zürich, CH""";"""Doctor""";"""""";0;;;;
23/02/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
25/02/2025;PAYMENT_TRANSACTION_IN;"""Transfer from TechCorp Solutions AG""";;;6254.82;CHF;;"""""";"""""";"""TechCorp Solutions AG""";0;;;;
26/02/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-74.88;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
27/02/2025;CARD_TRANSACTION_OUT;"""Restaurant Swaad""";-26.06;CHF;;;**** 1853;"""Zürich, CH""";"""Restaurant Swaad""";"""""";0;;;;
01/03/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Real Estate Partners""";-1189.52;CHF;;;;"""""";"""Real Estate Partners""";"""""";0;;;;
01/03/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/03/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
05/03/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
03/03/2025;PAYMENT_TRANSACTION_OUT;"""Twint a BOOKING.COM""";-308.13;CHF;;;;"""""";"""Twint a BOOKING.COM""";"""""";0;;;;
09/03/2025;CARD_TRANSACTION_OUT;"""YALDA Sihlcity""";-18.45;CHF;;;**** 1853;"""Zürich, CH""";"""YALDA Sihlcity""";"""""";0;;;;
11/03/2025;CARD_TRANSACTION_OUT;"""Armando's Bread and Wine""";-16.92;CHF;;;**** 1853;"""Zürich, CH""";"""Armando's Bread and Wine""";"""""";0;;;;
15/03/2025;CARD_TRANSACTION_OUT;"""Doctor visit""";-195.00;CHF;;;**** 1853;"""Zürich, CH""";"""Doctor""";"""""";0;;;;
23/03/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-17.86;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
25/03/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Software Development Ltd""";;;6323.41;CHF;;"""""";"""""";"""Software Development Ltd""";0;;;;
26/03/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-24.28;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
29/03/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
01/04/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1165.38;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/04/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/04/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
01/04/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-59.04;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
10/04/2025;PAYMENT_TRANSACTION_OUT;"""Yearly travel card""";-1500.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
04/04/2025;PAYMENT_TRANSACTION_OUT;"""Twint a SCHMIDT PETER""";-222.54;CHF;;;;"""""";"""Twint a SCHMIDT PETER""";"""""";0;;;;
16/04/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
24/04/2025;PAYMENT_TRANSACTION_OUT;"""Twint a SCHMIDT PETER""";-152.53;CHF;;;;"""""";"""Twint a SCHMIDT PETER""";"""""";0;;;;
25/04/2025;PAYMENT_TRANSACTION_IN;"""Transfer from TechCorp Solutions AG""";;;6081.14;CHF;;"""""";"""""";"""TechCorp Solutions AG""";0;;;;
29/04/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-45.82;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
29/04/2025;CARD_TRANSACTION_OUT;"""Armando's Bread and Wine""";-53.70;CHF;;;**** 1853;"""Zürich, CH""";"""Armando's Bread and Wine""";"""""";0;;;;
01/05/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Real Estate Partners""";-1230.86;CHF;;;;"""""";"""Real Estate Partners""";"""""";0;;;;
01/05/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/05/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
05/05/2025;PAYMENT_TRANSACTION_OUT;"""Train ticket""";-80.00;CHF;;;;"""""";"""SBBCFFFSS""";"""""";0;;;;
03/05/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-81.95;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
03/05/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
08/05/2025;PAYMENT_TRANSACTION_OUT;"""Twint a SMITH JOHN""";-139.05;CHF;;;;"""""";"""Twint a SMITH JOHN""";"""""";0;;;;
10/05/2025;CARD_TRANSACTION_OUT;"""Migros TA KAIMUG Bruna""";-68.58;CHF;;;**** 1853;"""Zürich, CH""";"""Migros TA KAIMUG Bruna""";"""""";0;;;;
10/05/2025;PAYMENT_TRANSACTION_OUT;"""Twint a AMAZON.CH""";-63.85;CHF;;;;"""""";"""Twint a AMAZON.CH""";"""""";0;;;;
11/05/2025;REWARD_RECEIVED;"""Card bonus""";;;;;;"""""";"""""";"""""";;;1;SWQ;
11/05/2025;CARD_TRANSACTION_OUT;"""Kennedy's Irish Pub""";-40.40;CHF;;;**** 1853;"""Zürich, CH""";"""Kennedy's Irish Pub""";"""""";0;;;;
22/05/2025;CARD_TRANSACTION_OUT;"""Coop-4899 Zürich Bahnh""";-25.70;CHF;;;**** 1853;"""Zürich 1 Sihl, CH""";"""Coop-4899 Zürich Bahnh""";"""""";0;;;;
25/05/2025;PAYMENT_TRANSACTION_IN;"""Transfer from Software Development Ltd""";;;6344.45;CHF;;"""""";"""""";"""Software Development Ltd""";0;;;;
01/06/2025;PAYMENT_TRANSACTION_OUT;"""Transfer to Housing Management AG""";-1150.37;CHF;;;;"""""";"""Housing Management AG""";"""""";0;;;;
01/06/2025;PAYMENT_TRANSACTION_OUT;"""Pillar3a""";-450.00;CHF;;;;"""""";"""Pillar3a""";"""""";0;;;;
01/06/2025;PAYMENT_TRANSACTION_OUT;"""Krankenkasse""";-412.50;CHF;;;;"""""";"""Krankenkasse""";"""""";0;;;;
06/06/2025;CARD_TRANSACTION_OUT;"""Coop-2848 ZH Sihlcity""";-65.91;CHF;;;**** 1853;"""Zürich, CH""";"""Coop-2848 ZH Sihlcity""";"""""";0;;;;
